,Neighbourhood,Latitude,Longitude
0,Arlington Heights,43.0857053,-87.9289055
1,Borchert Park / Borchert Field,43.0750911,-87.9373827
2,Brewers Hill,43.0574788,-87.9104358
3,Franklin Heights,43.0838639,-87.9459322
4,Granville Station,43.1734953,-88.0381251
5,Halyard Park,43.0571418,-87.9164493
6,Harambee,43.0721933,-87.9122597
8,Hillside,43.0534098,-87.92189914402928
9,Metcalfe Park,43.0643339,-87.9537964
10,Midtown,43.0538453,-87.9428744
11,North Division,43.068057,-87.9282832
12,Park West,43.0694208,-87.9422093
13,Riverwest,43.0729437,-87.8986716
14,Sherman Park,43.0722266,-87.9609633
15,Williamsburg Heights,43.085862,-87.9136491
16,Bay View,42.9957845,-87.8977114
17,Clarke Square,43.020745,-87.9409003
18,Historic Mitchell Street,43.0123122,-87.9227042
19,Holler Park,42.948739149999994,-87.91663045154858
20,Jackson Park,42.9944151,-87.9703832
21,Jones Island,43.0155364,-87.8971911
22,Layton Park,43.0037762,-87.9510927
23,Lincoln Village,43.0012183,-87.9248178
24,Tippecanoe,42.9765992,-87.896998
25,Town of Lake,42.9657031,-87.9059243
26,Walker's Point,43.0220353,-87.9229617
27,Brady Street,43.0524503,-87.8974713
28,East Village,43.054858,-87.900285
29,Murray Hill,43.065006,-87.8832006
30,Avenues West,43.0398733,-87.9369414
31,Cold Spring Park,43.0465225,-87.9521549
32,Concordia,43.0415671,-87.9522729
33,Enderis Park,43.0716309,-87.9961538
34,Martin Drive,43.0473654,-87.9654265
35,Merrill Park,43.0354231,-87.9544991
36,Mount Mary,43.0736843,-88.0284906
38,Story Hill,43.032996,-87.9744601
39,Walnut Hill,43.0544887,-87.9538585
40,Washington Heights,43.055617,-87.9800177
41,Washington Park,43.0552093,-87.9633075
42,Juneau Town / East Town,43.0382833,-87.90099180501929
43,Marquette,43.03889625,-87.93155449905072
44,Menomonee River Valley,43.0310903,-87.9393661
45,Third Ward,43.0359461,-87.9060739
