PropType,Address,Sale_price,Latitude,Longitude
Residential,7144 N 38TH ST,129000,43.14778,-87.95904
Residential,5346 N 52ND ST,67000,43.114586,-87.97752
Residential,4155 N 13TH ST,103000,43.09263,-87.926994
Residential,3832 W HELENA ST,150000,43.14572,-87.958916
Residential,4862 N 39TH ST,89900,43.105747,-87.961525
Residential,4839 N 24TH PL,83000,43.10533,-87.9429
Residential,4645 N GREEN BAY AV,104000,43.101486,-87.9299
Residential,5517 N 11TH ST,146200,43.117695,-87.924164
Residential,5964 N 39TH ST,70000,43.125698,-87.960945
Residential,4880 N 21ST ST,89000,43.10606,-87.93809
Residential,4911 N 36TH ST,44000,43.106728,-87.95778
Residential,5333 N 45TH ST,49900,43.114468,-87.96891
Residential,5333 N 45TH ST,107500,43.114468,-87.96891
Residential,5160 N 40TH ST,75000,43.111237,-87.96246
Residential,4727 N PARKWAY AV,58500,43.10285,-87.93206
Residential,5936 N 35TH ST,91500,43.125397,-87.95613
Residential,4032 W PORTAGE ST,105000,43.154747,-87.96261
Residential,2701 W ROOSEVELT DR,40000,43.095158,-87.946976
Residential,4535 W CUSTER AV,61000,43.115635,-87.969345
Residential,5466 N 13TH ST,146000,43.116783,-87.92649
Residential,1409 W CUSTER AV,124000,43.115185,-87.92849
Residential,7576 N 43RD ST,79000,43.155502,-87.9652
Residential,4951 N 49TH ST,86900,43.107388,-87.97391
Residential,5667 N 27TH ST,109900,43.12068,-87.94622
Residential,6516 N 43RD ST,96900,43.1362,-87.9659
Residential,5571 N LONG ISLAND DR,99900,43.118374,-87.93767
Residential,5309 N 47TH ST,53000,43.114094,-87.971344
Residential,4196 N 15TH ST,113000,43.093624,-87.92942
Residential,5151 N 49TH ST,72500,43.111202,-87.97385
Residential,6411 N 42ND ST,64000,43.134327,-87.96471
Residential,5371 N 51ST BL,68000,43.1151,-87.976295
Residential,5534 N HOPKINS ST,33500,43.11819,-87.965836
Residential,2436 W ATKINSON AV,61200,43.094143,-87.942505
Residential,4752 N 19TH PL,54800,43.103516,-87.93538
Residential,6122 N 40TH ST,55000,43.12949,-87.96241
Residential,3906 W PORTAGE ST,115000,43.15473,-87.96077
Residential,4975 N HOPKINS ST,59900,43.108025,-87.961494
Residential,5977 N 41ST ST,37500,43.125896,-87.963356
Residential,5438 N 53RD ST,50000,43.116432,-87.97874
Residential,4476 N 28TH ST,37500,43.098743,-87.94801
Residential,4684 N 18TH ST,73000,43.102123,-87.93294
Residential,4014 W HAMPTON AV,70000,43.104626,-87.962975
Residential,2703 W ORIOLE DR,83000,43.12374,-87.94634
Residential,5434 W SHERIDAN AV,93207,43.117527,-87.98042
Residential,4819 N 41ST ST,55000,43.105053,-87.96391
Residential,4014 W HAMPTON AV,20000,43.104626,-87.962975
Residential,6623 N 40TH ST,91000,43.137394,-87.96211
Residential,5969 N 41ST ST,45000,43.12578,-87.963356
Residential,6099 N 35TH ST,65000,43.128727,-87.956055
Residential,5346 N 54TH ST,40000,43.114594,-87.97998
Residential,4701 N 19TH PL,62000,43.102688,-87.93542
Residential,3533 W DOUGLAS AV,50000,43.13122,-87.95641
Residential,4740 N 22ND ST,54900,43.103275,-87.93933
Residential,5716 N 41ST ST,48000,43.122105,-87.963425
Residential,4246 N 14TH ST,83000,43.094387,-87.92817
Residential,5338 N 54TH ST,50000,43.114468,-87.97998
Residential,5958 N 36TH ST,76000,43.125584,-87.95736
Residential,1129 W SILVER SPRING DR,178000,43.11876,-87.9245
Residential,2115 W ROOSEVELT DR,115000,43.09693,-87.93886
Residential,4331 N 15TH ST,80000,43.095676,-87.92936
Residential,3800 W THURSTON AV,76000,43.12144,-87.95995
Residential,4608 N 31ST ST,67900,43.10109,-87.95176
Residential,4909 N 47TH ST,34500,43.106747,-87.971436
Residential,4924 N 51ST BL,10100,43.107212,-87.97637
Residential,5108 N 42ND ST,27000,43.11015,-87.96503
Residential,4023 N 13TH ST,80000,43.089897,-87.927086
Residential,4177 N 16TH ST,110000,43.093212,-87.93067
Residential,4242 N 18TH ST,110000,43.094738,-87.933075
Residential,4171-A N 20TH ST,105000,43.093296,-87.93696
Residential,4163 N 20TH ST,82000,43.093143,-87.936966
Residential,4103 N 26TH ST,63500,43.091335,-87.9457
Residential,5348 N 35TH ST,44000,43.11468,-87.95636
Residential,1106 W CAPITOL DR,137000,43.08937,-87.92478
Residential,5748 N 36TH ST,25000,43.122528,-87.95742
Residential,4213 N 14TH ST,52500,43.094025,-87.92819
Residential,5622-A N 40TH ST,50000,43.11981,-87.96229
Residential,5517 N 40TH ST,70000,43.11783,-87.96235
Residential,4839 N 18TH ST,74500,43.105213,-87.93293
Residential,5544-A N 39TH ST,27500,43.11824,-87.96113
Residential,5358 N 34TH ST,48000,43.114807,-87.955124
Residential,4846 N 19TH ST,74650,43.105373,-87.93409
Residential,5443A N 51ST BL,39250,43.116497,-87.97628
Residential,5649 N 39TH ST,123400,43.12032,-87.96109
Residential,4916 N 54TH ST,107500,43.10683,-87.98008
Residential,5470 N 19TH ST,85000,43.116554,-87.93553
Residential,4633 W VILLARD AV,45000,43.11197,-87.97057
Residential,4909 N 50TH ST,80000,43.107117,-87.97514
Residential,5307 N SHERMAN BL,76000,43.114044,-87.966385
Residential,5328 N 48TH ST,68000,43.114418,-87.97257
Residential,5637 N 39TH ST,112000,43.120083,-87.9611
Residential,4915 N 50TH ST,55000,43.107185,-87.97514
Residential,5628 N 40TH ST,50000,43.119934,-87.96228
Residential,4967 N 47TH ST,52500,43.107674,-87.97142
Residential,4926 N 54TH ST,80000,43.10699,-87.98008
Residential,5143 N HOPKINS ST,69500,43.11095,-87.96286
Residential,2139 W SILVER SPRING DR,135000,43.11899,-87.93817
Residential,5902 N 37TH ST,66000,43.12478,-87.95857
Residential,6081 N 38TH ST,35000,43.128506,-87.95974
Residential,5251 N 49TH ST,48227,43.112938,-87.97383
Residential,4970 N 36TH ST,29000,43.107693,-87.95774
Residential,3706A W SHERIDAN AV,110000,43.117435,-87.958916
Residential,5267-A N 34TH ST,58000,43.1131,-87.955185
Residential,5278 N 34TH ST,70000,43.113316,-87.95516
Residential,5061 N 32ND ST,30000,43.109158,-87.952835
Residential,4271-A N 29TH ST,56000,43.09464,-87.94934
Residential,4969 N SHERMAN BL,37000,43.107704,-87.966484
Residential,4192 N 16TH ST,115000,43.09356,-87.93065
Residential,1112 W CAPITOL DR,103000,43.08937,-87.92484
Residential,4145 N 15TH ST,110000,43.092484,-87.929474
Residential,4681 N PARKWAY AV,70000,43.102055,-87.9316
Residential,4239 N 24TH ST,57900,43.093143,-87.94193
Residential,4078 N 18TH ST,82000,43.090954,-87.93319
Residential,1514 W CAPITOL DR,127000,43.089447,-87.929825
Residential,4155 N 14TH ST,40000,43.092678,-87.92824
Residential,2603 W ATKINSON AV,65000,43.096233,-87.94562
Residential,4354 N 29TH ST,90000,43.096264,-87.949295
Residential,5550 N 42ND ST,35000,43.1184,-87.96468
Residential,4563 N 30TH ST,57500,43.100296,-87.95045
Residential,4304 N 26TH ST,72000,43.095333,-87.94557
Residential,5303 N 39TH ST,42000,43.113968,-87.96124
Residential,3328 W SILVER SPRING DR,134000,43.11914,-87.95448
Residential,5514 N 35TH ST,40000,43.117775,-87.95628
Residential,1640 W LAWN AV,131000,43.1143,-87.930504
Residential,2710 W FAIRMOUNT AV,85000,43.10814,-87.94676
Residential,5514 N 34TH ST,47000,43.117752,-87.95506
Residential,4221 N 24TH ST,60000,43.092983,-87.94193
Residential,5466 N 40TH ST,65000,43.116814,-87.96236
Residential,4649 N 28TH ST,59900,43.10166,-87.94796
Residential,4066 N 14TH ST,59900,43.09065,-87.92829
Residential,4925 N 52ND ST,55000,43.107037,-87.977646
Residential,4921 N 54TH ST,65000,43.106895,-87.980095
Residential,4915 N 37TH ST,32900,43.106796,-87.95901
Residential,5113 N 38TH ST,41000,43.110035,-87.96018
Residential,4784 N 31ST ST,23500,43.10418,-87.9517
Residential,7064 N 40TH ST,156000,43.14577,-87.96119
Residential,4200 W PORTAGE ST,146950,43.154762,-87.96384
Residential,4888 N 22ND ST,52000,43.105522,-87.9393
Residential,6932 N SUSSEX ST,137000,43.143013,-87.958954
Residential,7466 N 42ND ST,123600,43.15349,-87.96369
Residential,5462 N 19TH ST,131000,43.11643,-87.93554
Residential,7414 N 38TH ST,84100,43.1525,-87.95934
Residential,3825 W VERA AV,135500,43.143883,-87.95906
Residential,3906 W CHEYENNE ST,93000,43.14234,-87.959724
Residential,5813 N 39TH ST,91000,43.123486,-87.96101
Residential,6901 N 40TH PL,82000,43.142998,-87.96204
Residential,4240 N 13TH ST,52000,43.09428,-87.926926
Residential,5322 N DEXTER AV,71000,43.114113,-87.93851
Residential,5328 N DEXTER AV,64000,43.114185,-87.93856
Residential,2200 W ROHR AV,69000,43.113716,-87.93851
Residential,6072 N 39TH ST,39500,43.12839,-87.96092
Residential,3920 W VERA AV,115000,43.14363,-87.96008
Residential,4227 W STARK ST,45000,43.106445,-87.965515
Residential,4836 N 47TH ST,70000,43.105362,-87.97144
Residential,4017 W CALUMET RD,153500,43.155838,-87.96191
Residential,6937 N SUSSEX ST,86500,43.143032,-87.95902
Residential,5264 N 44TH ST,54000,43.113144,-87.9677
Residential,1337 W SHERIDAN CT,130000,43.116898,-87.92692
Residential,7083 N 42ND ST,109000,43.1465,-87.9643
Residential,5440 N 13TH ST,96500,43.116512,-87.9265
Residential,4916 N 55TH ST,78000,43.1068,-87.98132
Residential,5462 N 55TH ST,88000,43.116825,-87.98119
Residential,4633 N GREEN BAY AV,65000,43.10125,-87.92976
Residential,6539 N 42ND ST,69500,43.13651,-87.96463
Residential,4855 N 48TH ST,34000,43.10641,-87.97269
Residential,5237 N 28TH ST,54900,43.112415,-87.94774
Residential,5226 N 46TH ST,33000,43.11254,-87.970146
Residential,5201 W FAIRMOUNT AV,58100,43.108295,-87.97772
Residential,7424 N 38TH ST,80500,43.152683,-87.959404
Residential,6086 N 38TH ST,30000,43.12857,-87.959724
Residential,2417 W ROOSEVELT DR,53333,43.09538,-87.942345
